	Common Settings;	
	.Source/Sweep Points;	100
	.Repeat;	0
	.Source to Measure Delay;	0,1
	.Measure Window;	20 ms
	.NPLC;	1
	.Channel;	SMU-1
	..Instrument;	My 2450
	...Model;	2450
	...Serial Number;	04644437
	..Source Settings;	
	...Mode;	DC
	...Function;	Voltage Sweep
	...Type;	Linear
	...Dual Sweep;	Disabled
	...Range;	Auto
	...Start;	-1
	...Stop;	1
	...Step;	0,0202020202020202
	...Limit;	0,001
	..Measure Settings;	
	...Voltage;	Measured
	...Current;	True
	...Range;	Auto
	...Minimum Range;	1E-08
	...Resistance;	False
	...Power;	False
	...Auto Zero;	On
	..Instrument Settings;	
	...Input Terminals;	Front
	...Sense;	2-Wire
	...Output Off;	Normal
	...High Capacitance;	False

"Index";"SMU-1 Time (s)";"SMU-1 Voltage (V)";"SMU-1 Current (A)"
"84";"16,1151394";"0,676710188388824";"5,44629328942392E-05"
"85";"16,29777738";"0,696913123130798";"5,69777403143235E-05"
"86";"16,48040568";"0,717105388641357";"5,94982229813468E-05"
"87";"16,66304122";"0,737306952476501";"6,20457940385677E-05"
"88";"16,84570418";"0,757540702819824";"6,45148393232375E-05"
"89";"17,02837534";"0,777738988399506";"6,69783985358663E-05"
"90";"17,21101956";"0,797940015792847";"6,94965201546438E-05"
"91";"17,39367358";"0,818133056163788";"7,20079478924163E-05"
"92";"17,57633852";"0,838334739208221";"7,45060606277548E-05"
"93";"17,75898212";"0,858532130718231";"7,70520637161098E-05"
"94";"17,94165796";"0,878734588623047";"7,96243039076217E-05"
"95";"18,12431306";"0,898931384086609";"8,22287183837034E-05"
"96";"18,30694356";"0,919131934642792";"8,47139162942767E-05"
"97";"18,48958448";"0,9393270611763";"8,72626842465252E-05"
"98";"18,67225482";"0,959526300430298";"8,98194630281068E-05"
"99";"18,8548773";"0,97972559928894";"9,23893167055212E-05"
"100";"19,03752068";"0,99992161989212";"9,49431560002267E-05"

"Min";"0";"-0,999995291233063";"-4,77967187180184E-05"
"Max";"19,03752068";"0,99992161989212";"9,49431560002267E-05"
"Mean";"9,4944931556";"-1,73576641828244E-05";"7,60024611906829E-06"
"StdDev";"5,70338922395654";"0,586069878243754";"3,9021421942417E-05"
"CV";"60,070496976372%";"-3376432,86602858%";"513,423135660252%"
