	Common Settings;	
	.Source/Sweep Points;	100
	.Repeat;	0
	.Source to Measure Delay;	0,1
	.Measure Window;	20 ms
	.NPLC;	1
	.Channel;	SMU-1
	..Instrument;	My 2450
	...Model;	2450
	...Serial Number;	04644437
	..Source Settings;	
	...Mode;	DC
	...Function;	Voltage Sweep
	...Type;	Linear
	...Dual Sweep;	Disabled
	...Range;	Auto
	...Start;	-1
	...Stop;	1
	...Step;	0,0202020202020202
	...Limit;	0,001
	..Measure Settings;	
	...Voltage;	Measured
	...Current;	True
	...Range;	Auto
	...Minimum Range;	1E-08
	...Resistance;	False
	...Power;	True
	...Auto Zero;	On
	..Instrument Settings;	
	...Input Terminals;	Front
	...Sense;	2-Wire
	...Output Off;	Normal
	...High Capacitance;	False

"Index";"SMU-1 Time (s)";"SMU-1 Voltage (V)";"SMU-1 Current (A)";"SMU-1 Power (W)"
"1";"0";"-0,999994397163391";"-4,79873524454888E-05";"4,79870835801938E-05"
"2";"0,18266518";"-0,979800701141357";"-4,70027844130527E-05";"4,60533611235051E-05"
"3";"0,36530176";"-0,959590911865234";"-4,59760121884756E-05";"4,41181634598664E-05"
"4";"0,54793898";"-0,939389228820801";"-4,49514773208648E-05";"4,22269336148029E-05"
"5";"0,73058476";"-0,919183790683746";"-4,39843643107451E-05";"4,04297147179656E-05"
"6";"0,91322244";"-0,898982882499695";"-4,29427782364655E-05";"3,86048225615629E-05"
"7";"1,09584508";"-0,878779590129852";"-4,19875213992782E-05";"3,68977768458261E-05"
"8";"1,2784769";"-0,858609259128571";"-4,10245593229774E-05";"3,52240664863778E-05"
"9";"1,46111682";"-0,838406622409821";"-4,00179669668432E-05";"3,35513285203788E-05"
"10";"1,64375756";"-0,818200349807739";"-3,90494096791372E-05";"3,19502406592558E-05"
"11";"1,82640386";"-0,79800021648407";"-3,80266974389087E-05";"3,03453127884234E-05"
"12";"2,0090617";"-0,777797281742096";"-3,70424677385017E-05";"2,88115307160259E-05"
"13";"2,19173026";"-0,757590711116791";"-3,60267731593922E-05";"2,72935486970672E-05"
"14";"2,37439924";"-0,737356781959534";"-3,5043074603891E-05";"2,58392487198929E-05"
"15";"2,55706682";"-0,717148661613464";"-3,40625192620791E-05";"2,44278900999829E-05"
"16";"2,7397251";"-0,696950674057007";"-3,30184047925286E-05";"2,30121994764399E-05"
"17";"2,92236902";"-0,676741361618042";"-3,20573053613771E-05";"2,16945044800637E-05"
"18";"3,10503012";"-0,656541228294373";"-3,09995230054483E-05";"2,03524649105367E-05"
"19";"3,28768134";"-0,63634067773819";"-3,00010251521599E-05";"1,90908726781659E-05"
"20";"3,47034452";"-0,616132855415344";"-2,89893559966004E-05";"1,78612946868373E-05"
"21";"3,65299994";"-0,595930337905884";"-2,79330160992686E-05";"1,66461317227676E-05"
"22";"3,83567506";"-0,575760841369629";"-2,69140964519465E-05";"1,54960828178761E-05"
"23";"4,01833422";"-0,55555385351181";"-2,58543186646421E-05";"1,43634663640642E-05"
"24";"4,20098332";"-0,535353124141693";"-2,48404321609996E-05";"1,32984029624209E-05"
"25";"4,38363872";"-0,51514595746994";"-2,38124684983632E-05";"1,22668968843121E-05"
"26";"4,56628654";"-0,494945883750916";"-2,27425316552399E-05";"1,12563224288359E-05"
"27";"4,74894624";"-0,474743694067001";"-2,17159122257726E-05";"1,03094923900981E-05"
"28";"4,93159902";"-0,454536855220795";"-2,06043969228631E-05";"9,36545778103921E-06"
"29";"5,11427442";"-0,434340327978134";"-1,95700849872082E-05";"8,50007713190399E-06"
"30";"5,29693644";"-0,414160043001175";"-1,85243934538448E-05";"7,67206358941506E-06"
"31";"5,47958044";"-0,393962144851685";"-1,74447523022536E-05";"6,8725720334022E-06"
"32";"5,66223728";"-0,373756915330887";"-1,63892837008461E-05";"6,12560812051103E-06"
"33";"5,84487802";"-0,353552311658859";"-1,53090040839743E-05";"5,41253378308403E-06"
