	Common Settings;	
	.Source/Sweep Points;	100
	.Repeat;	0
	.Source to Measure Delay;	0,1
	.Measure Window;	20 ms
	.NPLC;	1
	.Channel;	SMU-1
	..Instrument;	My 2450
	...Model;	2450
	...Serial Number;	04644437
	..Source Settings;	
	...Mode;	DC
	...Function;	Voltage Sweep
	...Type;	Linear
	...Dual Sweep;	Disabled
	...Range;	Auto
	...Start;	-1
	...Stop;	1
	...Step;	0,0202020202020202
	...Limit;	0,001
	..Measure Settings;	
	...Voltage;	Measured
	...Current;	True
	...Range;	Auto
	...Minimum Range;	1E-08
	...Resistance;	False
	...Power;	True
	...Auto Zero;	On
	..Instrument Settings;	
	...Input Terminals;	Front
	...Sense;	2-Wire
	...Output Off;	Normal
	...High Capacitance;	False

"Index";"SMU-1 Time (s)";"SMU-1 Voltage (V)";"SMU-1 Current (A)";"SMU-1 Power (W)"
"1";"0";"-0,999995827674866";"-4,81652277812827E-05";"4,81650268202923E-05"
"2";"0,18264834";"-0,979800999164581";"-4,70404629595578E-05";"4,60902926089392E-05"
"3";"0,36528298";"-0,959591686725616";"-4,60475312138442E-05";"4,41868281470432E-05"
"4";"0,5479151";"-0,939388751983643";"-4,49840263172518E-05";"4,22574883413625E-05"
"5";"0,73055578";"-0,919183611869812";"-4,40243311459199E-05";"4,04664437128593E-05"
"6";"0,9131962";"-0,898983776569366";"-4,30036670877598E-05";"3,86595990448861E-05"
"7";"1,09581728";"-0,878780007362366";"-4,2039460822707E-05";"3,69434376912884E-05"
"8";"1,27845338";"-0,858609020709991";"-4,10905122407712E-05";"3,52806844755205E-05"
"9";"1,46109884";"-0,838406682014465";"-4,00436729250941E-05";"3,35728829528007E-05"
"10";"1,64374268";"-0,818202793598175";"-3,90951572626363E-05";"3,1987766888449E-05"
"11";"1,82637936";"-0,798002243041992";"-3,80915880668908E-05";"3,03971727184105E-05"
"12";"2,00903372";"-0,777797996997833";"-3,71100395568646E-05";"2,88641144358397E-05"
"13";"2,19166994";"-0,757592797279358";"-3,60710655513685E-05";"2,73271794519084E-05"
"14";"2,37428826";"-0,73735898733139";"-3,50737136614043E-05";"2,58619179873242E-05"
"15";"2,55693856";"-0,717150390148163";"-3,40918268193491E-05";"2,44489669043598E-05"
"16";"2,73956802";"-0,696951866149902";"-3,3063941373257E-05";"2,30439756423624E-05"
"17";"2,92222952";"-0,676742434501648";"-3,20563522109296E-05";"2,16938938364668E-05"
"18";"3,104883";"-0,656540215015411";"-3,10646646539681E-05";"2,03952016112978E-05"
"19";"3,28753966";"-0,636341512203217";"-3,00446499750251E-05";"1,91186579987238E-05"
"20";"3,4702106";"-0,616132616996765";"-2,90446896542562E-05";"1,78953806465358E-05"
"21";"3,65287402";"-0,595931112766266";"-2,8021699108649E-05";"1,66990023314187E-05"
"22";"3,8355447";"-0,57576060295105";"-2,6973426429322E-05";"1,55302362646022E-05"
"23";"4,01821654";"-0,555556416511536";"-2,59605840255972E-05";"1,44225690318074E-05"
"24";"4,20087286";"-0,535354733467102";"-2,48996420850744E-05";"1,33301412518813E-05"
"25";"4,38352466";"-0,515148520469666";"-2,38659722526791E-05";"1,22945202955377E-05"
"26";"4,5661835";"-0,494947135448456";"-2,28238714043982E-05";"1,12966097714508E-05"
"27";"4,74884704";"-0,474744886159897";"-2,17608649109025E-05";"1,03308593348673E-05"
"28";"4,93149748";"-0,454537391662598";"-2,07174907700391E-05";"9,41687421640754E-06"
"29";"5,11415972";"-0,434340566396713";"-1,96355340449372E-05";"8,52850897857998E-06"
