	Common Settings;	
	.Source/Sweep Points;	100
	.Repeat;	0
	.Source to Measure Delay;	0,1
	.Measure Window;	20 ms
	.NPLC;	1
	.Channel;	SMU-1
	..Instrument;	My 2450
	...Model;	2450
	...Serial Number;	04644437
	..Source Settings;	
	...Mode;	DC
	...Function;	Voltage Sweep
	...Type;	Linear
	...Dual Sweep;	Disabled
	...Range;	Auto
	...Start;	-1
	...Stop;	1
	...Step;	0,0202020202020202
	...Limit;	0,001
	..Measure Settings;	
	...Voltage;	Measured
	...Current;	True
	...Range;	Auto
	...Minimum Range;	1E-08
	...Resistance;	False
	...Power;	True
	...Auto Zero;	On
	..Instrument Settings;	
	...Input Terminals;	Front
	...Sense;	2-Wire
	...Output Off;	Normal
	...High Capacitance;	False

"Index";"SMU-1 Time (s)";"SMU-1 Voltage (V)";"SMU-1 Current (A)";"SMU-1 Power (W)"
"1";"0";"-0,999995291233063";"-4,75346932944376E-05";"4,75344694646454E-05"
"2";"0,1826588";"-0,97979748249054";"-4,65516604890581E-05";"4,56111997529335E-05"
"3";"0,36530284";"-0,959591090679169";"-4,55856825283263E-05";"4,37436148167109E-05"
"4";"0,547947";"-0,939388573169708";"-4,45613368356135E-05";"4,18604106285417E-05"
"5";"0,73059048";"-0,91918557882309";"-4,36127811553888E-05";"4,00882394904008E-05"
"6";"0,91324346";"-0,89898419380188";"-4,26380756834988E-05";"3,83309560935937E-05"
"7";"1,09586948";"-0,878780007362366";"-4,16754628531635E-05";"3,6623563552933E-05"
"8";"1,27849808";"-0,858609020709991";"-4,06912295147777E-05";"3,49378567251687E-05"
"9";"1,46113318";"-0,838406026363373";"-3,97393559978809E-05";"3,33177155524228E-05"
"10";"1,6437637";"-0,818201661109924";"-3,87413092539646E-05";"3,16982035851671E-05"
"11";"1,826402";"-0,798003733158112";"-3,77717842638958E-05";"3,01420248506317E-05"
"12";"2,00904582";"-0,777798593044281";"-3,67841494153254E-05";"2,86106596615707E-05"
"13";"2,19168786";"-0,757592380046844";"-3,58193938154727E-05";"2,71364998124992E-05"
"14";"2,37433818";"-0,737357497215271";"-3,48223111359403E-05";"2,56764921864484E-05"
"15";"2,55697222";"-0,717150151729584";"-3,38356039719656E-05";"2,42652085223572E-05"
"16";"2,73960566";"-0,696950733661652";"-3,28527494275477E-05";"2,28967478163318E-05"
"17";"2,92223568";"-0,676743566989899";"-3,18505699397065E-05";"2,15546683116582E-05"
"18";"3,10486906";"-0,656541705131531";"-3,08649214275647E-05";"2,0264108142804E-05"
"19";"3,28751142";"-0,636342763900757";"-2,98583472613245E-05";"1,90001432217798E-05"
"20";"3,4701502";"-0,616134166717529";"-2,88506907963892E-05";"1,77758963330584E-05"
"21";"3,6527913";"-0,595932066440582";"-2,78456809610361E-05";"1,65941341965554E-05"
"22";"3,8354492";"-0,575760662555695";"-2,68379044428002E-05";"1,54522096435931E-05"
"23";"4,01809764";"-0,555555582046509";"-2,58194268099032E-05";"1,4344126689483E-05"
"24";"4,20071114";"-0,535354912281036";"-2,47849402512657E-05";"1,32687395141071E-05"
"25";"4,38335922";"-0,515146970748901";"-2,3752378183417E-05";"1,22359656692696E-05"
"26";"4,56601166";"-0,494948416948318";"-2,2720558263245E-05";"1,12455043445752E-05"
"27";"4,74865742";"-0,474742323160172";"-2,16850548895309E-05";"1,02948133361117E-05"
"28";"4,93130294";"-0,454538315534592";"-2,06457589229103E-05";"9,38428848375292E-06"
"29";"5,11395704";"-0,434340178966522";"-1,95990796783008E-05";"8,51266777505228E-06"
"30";"5,29661784";"-0,414162397384644";"-1,8549320884631E-05";"7,68243120743582E-06"
"31";"5,4792696";"-0,393961936235428";"-1,74886863533175E-05";"6,88987673796705E-06"
"32";"5,66191526";"-0,373757183551788";"-1,64458542712964E-05";"6,1467561735429E-06"
"33";"5,84456858";"-0,3535535633564";"-1,53869896166725E-05";"5,44012500830249E-06"
"34";"6,02721688";"-0,333351314067841";"-1,43356619446422E-05";"4,77881174727881E-06"
"35";"6,20986668";"-0,313142448663712";"-1,32803752421751E-05";"4,15864922250763E-06"
"36";"6,39253108";"-0,292942136526108";"-1,22247374747531E-05";"3,58114071432494E-06"
"37";"6,57517846";"-0,272737830877304";"-1,11964527604869E-05";"3,05369623941539E-06"
"38";"6,75782786";"-0,252525150775909";"-1,01815376183367E-05";"2,57109432220108E-06"
"39";"7,1027904";"-0,232283294200897";"-9,17192301130854E-06";"2,13048449122376E-06"
"40";"7,2854271";"-0,212079435586929";"-8,20554760139203E-06";"1,7402279039849E-06"
"41";"7,46807132";"-0,191913709044456";"-7,24343271940597E-06";"1,39011403939517E-06"
"42";"7,6507049";"-0,171713918447495";"-6,32784258414176E-06";"1,0865786454419E-06"
"43";"7,83332566";"-0,151512488722801";"-5,4307192840497E-06";"8,22821794281279E-07"
"44";"8,01596432";"-0,131313875317574";"-4,59452394352411E-06";"6,03324744263531E-07"
"45";"8,19862414";"-0,111110493540764";"-3,78786444343859E-06";"4,20871487775973E-07"
"46";"8,38129308";"-0,0909094586968422";"-3,01400768876192E-06";"2,74001807493467E-07"
"47";"8,56395206";"-0,0707070901989937";"-2,28142130254128E-06";"1,61312661820692E-07"
"48";"8,74660252";"-0,0505047626793385";"-1,56884675561741E-06";"7,92342330727076E-08"
"49";"9,09558312";"-0,0302899163216352";"-8,98667337878578E-07";"2,72205584653288E-08"
"50";"9,27825072";"-0,0100995879620314";"-2,38680456732254E-07";"2,41057426758522E-09"
"51";"9,46091818";"0,0100973257794976";"4,02643109964629E-07";"4,06561865418294E-09"
"52";"9,95935316";"0,0302912909537554";"1,03826903341542E-06";"3,14505093794608E-08"
"53";"10,14201128";"0,0504923239350319";"1,67655923632992E-06";"8,46533720570401E-08"
"54";"10,32466978";"0,0706866756081581";"2,32289517043682E-06";"1,64197737384425E-07"
"55";"10,50732006";"0,0908898636698723";"2,99043449558667E-06";"2,71800183617556E-07"
"56";"10,6899789";"0,11108722537756";"3,68143878404226E-06";"4,08960819916591E-07"
