	Common Settings;	
	.Source/Sweep Points;	100
	.Repeat;	0
	.Source to Measure Delay;	0,1
	.Measure Window;	20 ms
	.NPLC;	1
	.Channel;	SMU-1
	..Instrument;	My 2450
	...Model;	2450
	...Serial Number;	04644437
	..Source Settings;	
	...Mode;	DC
	...Function;	Voltage Sweep
	...Type;	Linear
	...Dual Sweep;	Disabled
	...Range;	Auto
	...Start;	-1
	...Stop;	1
	...Step;	0,0202020202020202
	...Limit;	0,001
	..Measure Settings;	
	...Voltage;	Measured
	...Current;	True
	...Range;	Auto
	...Minimum Range;	1E-08
	...Resistance;	False
	...Power;	True
	...Auto Zero;	On
	..Instrument Settings;	
	...Input Terminals;	Front
	...Sense;	2-Wire
	...Output Off;	Normal
	...High Capacitance;	False

"Index";"SMU-1 Time (s)";"SMU-1 Voltage (V)";"SMU-1 Current (A)";"SMU-1 Power (W)"
"1";"0";"-0,999996066093445";"-4,93987354275305E-05";"4,93985410975214E-05"
"2";"0,18265984";"-0,979798436164856";"-4,8325615352951E-05";"4,73493623495257E-05"
"3";"0,36530968";"-0,959591269493103";"-4,72074571007397E-05";"4,529986368884E-05"
"4";"0,54795108";"-0,939389169216156";"-4,6150937123457E-05";"4,33536904829513E-05"
"5";"0,730604";"-0,919184446334839";"-4,51122723461594E-05";"4,1466499079411E-05"
"6";"0,91324984";"-0,898982465267181";"-4,39795840065926E-05";"3,95368748516717E-05"
"7";"1,09587954";"-0,87878006696701";"-4,29340325354133E-05";"3,77295719866343E-05"
"8";"1,27851208";"-0,858607947826385";"-4,19131138187367E-05";"3,59869326429193E-05"
"9";"1,46115036";"-0,8384068608284";"-4,08188789151609E-05";"3,42228281337946E-05"
"10";"1,64380634";"-0,818201959133148";"-3,97724106733222E-05";"3,25418643323603E-05"
"11";"1,82645108";"-0,798001646995544";"-3,86758183594793E-05";"3,0863366749765E-05"
"12";"2,0090906";"-0,777800738811493";"-3,76374664483592E-05";"2,92744492105266E-05"
"13";"2,19174184";"-0,757591962814331";"-3,66184212907683E-05";"2,77418216608353E-05"
"14";"2,37440454";"-0,737355887889862";"-3,55276679329108E-05";"2,61965351333277E-05"
"15";"2,55707168";"-0,717150092124939";"-3,44842992490157E-05";"2,47304183832956E-05"
"16";"2,73971248";"-0,696949481964111";"-3,34070064127445E-05";"2,3282995813334E-05"
"17";"2,92236224";"-0,676745176315308";"-3,23930253216531E-05";"2,19218236326884E-05"
"18";"3,10501332";"-0,656542778015137";"-3,13571908918675E-05";"2,05873372188976E-05"
"19";"3,28767166";"-0,636342406272888";"-3,02733715216164E-05";"1,92642300800585E-05"
"20";"3,47033452";"-0,616133868694305";"-2,92387612716993E-05";"1,80149910981613E-05"
"21";"3,65300504";"-0,595931172370911";"-2,81470547633944E-05";"1,67737073439379E-05"
"22";"3,83566986";"-0,575760841369629";"-2,7100051738671E-05";"1,56031485902177E-05"
"23";"4,01834088";"-0,555554986000061";"-2,60625292867189E-05";"1,44791680930093E-05"
"24";"4,20099582";"-0,535353779792786";"-2,49573022301774E-05";"1,33609860823564E-05"
"25";"4,38365246";"-0,515148103237152";"-2,39096771110781E-05";"1,23170248127846E-05"
"26";"4,56631406";"-0,49494856595993";"-2,28045337280491E-05";"1,12870712660828E-05"
"27";"4,74898122";"-0,474742889404297";"-2,17425968003226E-05";"1,03221432281378E-05"
"28";"4,93163878";"-0,454538315534592";"-2,06911736313486E-05";"9,40493120882697E-06"
"29";"5,11430392";"-0,434340387582779";"-1,95789762074128E-05";"8,50394011440167E-06"
"30";"5,29698314";"-0,414162695407867";"-1,85116768989246E-05";"7,66684600097818E-06"
"31";"5,47964572";"-0,393961638212204";"-1,7420738004148E-05";"6,86310248297975E-06"
"32";"5,66229336";"-0,373756974935532";"-1,63325621542754E-05";"6,10440902372851E-06"
"33";"5,84495594";"-0,353552520275116";"-1,52621996676316E-05";"5,39598915743321E-06"
"34";"6,02760986";"-0,333352625370026";"-1,41552627610508E-05";"4,71869400419885E-06"
"35";"6,21024938";"-0,313141852617264";"-1,31107126435381E-05";"4,10551284633012E-06"
"36";"6,39289922";"-0,292942672967911";"-1,2004639756924E-05";"3,51667125841017E-06"
"37";"6,57555758";"-0,27273690700531";"-1,0971801202686E-05";"2,99241512429773E-06"
"38";"6,92052822";"-0,252510905265808";"-9,91532670013839E-06";"2,50372812105818E-06"
"39";"7,10317174";"-0,232285112142563";"-8,92531988938572E-06";"2,07321893141421E-06"
"40";"7,28579974";"-0,212077394127846";"-7,955294677231E-06";"1,68713816466627E-06"
"41";"7,4684186";"-0,191916987299919";"-6,97192899679067E-06";"1,33803160873301E-06"
"42";"7,6510595";"-0,17171311378479";"-6,07794208917767E-06";"1,04366236153633E-06"
"43";"7,83371724";"-0,151512816548347";"-5,15612782692187E-06";"7,81219449540244E-07"
"44";"8,01637738";"-0,131315544247627";"-4,32275373896118E-06";"5,67644759880153E-07"
"45";"8,1990405";"-0,111110381782055";"-3,53601649294433E-06";"3,92888142518687E-07"
"46";"8,38170114";"-0,0909112691879272";"-2,74626108875964E-06";"2,49666081100558E-07"
"47";"8,56435408";"-0,0707038789987564";"-2,02483033717726E-06";"1,43163359152792E-07"
"48";"8,74700512";"-0,0505076870322227";"-1,30410944620962E-06";"6,58675517649209E-08"
"49";"9,09596884";"-0,0302960015833378";"-6,42309316845058E-07";"1,94594040801305E-08"
"50";"9,48248528";"-0,0100991986691952";"1,686069417417E-08";"-1,70279500165485E-10"
"51";"10,20784376";"0,0101037258282304";"6,8350300352904E-07";"6,9059269504294E-09"
"52";"10,70628924";"0,0302899684756994";"1,32352420223469E-06";"4,00895063625141E-08"
"53";"10,88894114";"0,0504937209188938";"1,98215184354922E-06";"1,00086222007045E-07"
"54";"11,0715994";"0,0706842169165611";"2,63390393229201E-06";"1,86175436887512E-07"
"55";"11,2542614";"0,0908879265189171";"3,34302512783324E-06";"3,03840622169401E-07"
"56";"11,43691804";"0,11108335852623";"4,04442425860907E-06";"4,49268229951253E-07"
"57";"11,61956962";"0,131289884448051";"4,81803544971626E-06";"6,32559317459864E-07"
"58";"11,80222028";"0,151484817266464";"5,67011420571362E-06";"8,5893621433251E-07"
"59";"11,98487176";"0,17168778181076";"6,57699320072425E-06";"1,1291893736168E-06"
"60";"12,16750538";"0,191888615489006";"7,59669728722656E-06";"1,45771972473499E-06"
"61";"12,35015892";"0,212062209844589";"8,65108358993893E-06";"1,83456790363271E-06"
