	Common Settings;	
	.Source/Sweep Points;	100
	.Repeat;	0
	.Source to Measure Delay;	0,1
	.Measure Window;	20 ms
	.NPLC;	1
	.Channel;	SMU-1
	..Instrument;	My 2450
	...Model;	2450
	...Serial Number;	04644437
	..Source Settings;	
	...Mode;	DC
	...Function;	Voltage Sweep
	...Type;	Linear
	...Dual Sweep;	Disabled
	...Range;	Auto
	...Start;	-1
	...Stop;	1
	...Step;	0,0202020202020202
	...Limit;	0,001
	..Measure Settings;	
	...Voltage;	Measured
	...Current;	True
	...Range;	Auto
	...Minimum Range;	1E-08
	...Resistance;	False
	...Power;	True
	...Auto Zero;	On
	..Instrument Settings;	
	...Input Terminals;	Front
	...Sense;	2-Wire
	...Output Off;	Normal
	...High Capacitance;	False

"Index";"SMU-1 Time (s)";"SMU-1 Voltage (V)";"SMU-1 Current (A)";"SMU-1 Power (W)"
"1";"0";"-0,999996721744537";"-4,76976892969105E-05";"4,76975329317E-05"
"2";"0,1826629";"-0,979799151420593";"-4,67053614556789E-05";"4,57618735210663E-05"
"3";"0,36530014";"-0,959591507911682";"-4,5709286496276E-05";"4,38622431545286E-05"
"4";"0,5479373";"-0,939389765262604";"-4,47220154455863E-05";"4,20114035914998E-05"
"5";"0,73059342";"-0,919184684753418";"-4,37311755376868E-05";"4,0197026800505E-05"
"6";"0,9132392";"-0,898984551429749";"-4,2734645830933E-05";"3,84177864128305E-05"
"7";"1,09586644";"-0,878780484199524";"-4,17746159655508E-05";"3,67107172454559E-05"
"8";"1,27848722";"-0,858608722686768";"-4,08360683650244E-05";"3,50622044984431E-05"
"9";"1,46112714";"-0,838406085968018";"-3,9839720557211E-05";"3,34018641784308E-05"
"10";"1,64377154";"-0,818201184272766";"-3,88602638849989E-05";"3,17955139318583E-05"
"11";"1,82640984";"-0,798001527786255";"-3,79039338440634E-05";"3,02473971166718E-05"
"12";"2,00904388";"-0,77779895067215";"-3,68820583389606E-05";"2,86868262746726E-05"
"13";"2,1916853";"-0,7575923204422";"-3,58918077836279E-05";"2,71913579436641E-05"
"14";"2,37432682";"-0,737358570098877";"-3,49172805726994E-05";"2,57465560748269E-05"
"15";"2,556971";"-0,717150628566742";"-3,39021462423261E-05";"2,43129454874458E-05"
"16";"2,73959686";"-0,696951270103455";"-3,29097856592853E-05";"2,29365169140713E-05"
"17";"2,92221918";"-0,676743268966675";"-3,19156533805653E-05";"2,15987035999711E-05"
"18";"3,1048398";"-0,65654194355011";"-3,09328133880626E-05";"2,03086894212715E-05"
"19";"3,28747892";"-0,636341154575348";"-2,99257426377153E-05";"1,90429816216085E-05"
"20";"3,47012092";"-0,616133511066437";"-2,89017243630951E-05";"1,78073209077082E-05"
"21";"3,65275528";"-0,595931231975555";"-2,78835104836617E-05";"1,66166547543318E-05"
"22";"3,83540096";"-0,575759947299957";"-2,68765379587421E-05";"1,54744340787307E-05"
"23";"4,01804346";"-0,555554747581482";"-2,58564959949581E-05";"1,43646991058205E-05"
"24";"4,2006806";"-0,53535521030426";"-2,48335873038741E-05";"1,32947903536747E-05"
"25";"4,38333244";"-0,51514732837677";"-2,37975091295084E-05";"1,2259223250088E-05"
"26";"4,56598972";"-0,494948536157608";"-2,27776617975906E-05";"1,12737703638105E-05"
"27";"4,74864032";"-0,474743545055389";"-2,17259985220153E-05";"1,03142775582097E-05"
"28";"4,93129358";"-0,454537391662598";"-2,06942477234406E-05";"9,40630938263236E-06"
"29";"5,11394268";"-0,434340119361877";"-1,96510954992846E-05";"8,53525916475091E-06"
"30";"5,29661244";"-0,414161324501038";"-1,85982607945334E-05";"7,70268032407968E-06"
"31";"5,47928168";"-0,393961131572723";"-1,75392033270327E-05";"6,90976438960189E-06"
"32";"5,66192116";"-0,373757392168045";"-1,64903030963615E-05";"6,1633726813567E-06"
"33";"5,84457498";"-0,353553384542465";"-1,54249755723868E-05";"5,45355232010219E-06"
"34";"6,02723174";"-0,333351194858551";"-1,43661554830032E-05";"4,78897509578285E-06"
"35";"6,20989616";"-0,313143461942673";"-1,3318102901394E-05";"4,17047684905128E-06"
"36";"6,39255982";"-0,292941123247147";"-1,22698802442756E-05";"3,59435250086605E-06"
"37";"6,57520528";"-0,272736996412277";"-1,12368315967615E-05";"3,0646996988913E-06"
"38";"6,7578679";"-0,25252565741539";"-1,0205888429482E-05";"2,57724868516306E-06"
"39";"7,10283326";"-0,232283070683479";"-9,20130969461752E-06";"2,13730847017543E-06"
"40";"7,28548052";"-0,212077915668488";"-8,21787762106396E-06";"1,74283035709395E-06"
"41";"7,46812434";"-0,191914081573486";"-7,26986172594479E-06";"1,39518883630094E-06"
"42";"7,6507652";"-0,171713247895241";"-6,3531288105878E-06";"1,09091638236286E-06"
"43";"7,8334004";"-0,151513993740082";"-5,46525780009688E-06";"8,28063036111812E-07"
"44";"8,0160276";"-0,131314367055893";"-4,62002390122507E-06";"6,06675514372467E-07"
"45";"8,1986628";"-0,111111044883728";"-3,80323967874574E-06";"4,22581934648693E-07"
"46";"8,38131628";"-0,090909332036972";"-3,03493470710237E-06";"2,75903886998499E-07"
"47";"8,56398002";"-0,0707073509693146";"-2,29108059102145E-06";"1,61996239448339E-07"
"48";"8,74662278";"-0,0505057089030743";"-1,59350634021393E-06";"8,04811673540482E-08"
"49";"9,09558982";"-0,0302917659282684";"-9,17264912914106E-07";"2,77855740362076E-08"
"50";"9,2782517";"-0,010098647326231";"-2,59652040313085E-07";"2,62213438265816E-09"
"51";"9,46090776";"0,0101232770830393";"3,79331112299042E-07";"3,84007395602069E-09"
"52";"9,64354532";"0,0302630234509706";"1,01776231531403E-06";"3,08005648158627E-08"
"53";"10,14194918";"0,0504892989993095";"1,65388564710156E-06";"8,35035269471772E-08"
"54";"10,32460226";"0,0706870704889297";"2,29862575906736E-06";"1,62483121058864E-07"
"55";"10,50725888";"0,0908883884549141";"2,96218968287576E-06";"2,69228646574351E-07"
"56";"10,68993242";"0,111085921525955";"3,6627868666983E-06";"4,06884054440346E-07"
"57";"10,87259766";"0,131289422512054";"4,38513916378724E-06";"5,75722388448621E-07"
"58";"11,05523886";"0,151484102010727";"5,16191630595131E-06";"7,81948256261563E-07"
"59";"11,2379007";"0,17168465256691";"6,01054034632398E-06";"1,03191753109803E-06"
"60";"11,42054492";"0,191886723041534";"6,92538969815359E-06";"1,32889033496429E-06"
"61";"11,60318084";"0,212067872285843";"7,92751416156534E-06";"1,68117106075905E-06"
"62";"11,78583088";"0,232264831662178";"9,00968552741688E-06";"2,09263309235464E-06"
"63";"11,9684726";"0,252489119768143";"1,02060985227581E-05";"2,57692883227814E-06"
"64";"12,4628751";"0,272723972797394";"1,14899230538867E-05";"3,13357746239236E-06"
"65";"12,6455223";"0,292925626039505";"1,28848223539535E-05";"3,77429465443964E-06"
"66";"12,8281765";"0,313123494386673";"1,44042733154492E-05";"4,51031639463418E-06"
"67";"13,01082764";"0,333326190710068";"1,60234212671639E-05";"5,34102597312644E-06"
"68";"13,19347076";"0,353523701429367";"1,77220899786334E-05";"6,26517884631079E-06"
"69";"13,37611938";"0,37372425198555";"1,95107186300447E-05";"7,291628725714E-06"
"70";"13,55876812";"0,393924176692963";"2,14255123864859E-05";"8,44002732707134E-06"
"71";"13,74141702";"0,414120227098465";"2,34282488236204E-05";"9,70211172335702E-06"
"72";"13,9240668";"0,434325277805328";"2,55297582043568E-05";"1,10882193244101E-05"
"73";"14,10671068";"0,454521805047989";"2,76473328995053E-05";"1,25663156542458E-05"
"74";"14,28935302";"0,474723517894745";"2,98306877084542E-05";"1,41613290101769E-05"
"75";"14,47199996";"0,49492210149765";"3,21325933327898E-05";"1,59031306188337E-05"
"76";"14,65465088";"0,515116810798645";"3,44392210536171E-05";"1,77402217155288E-05"
"77";"14,83729894";"0,535319983959198";"3,68330838682596E-05";"1,97174858655245E-05"
