	Common Settings;	
	.Source/Sweep Points;	100
	.Repeat;	0
	.Source to Measure Delay;	0,1
	.Measure Window;	20 ms
	.NPLC;	1
	.Channel;	SMU-1
	..Instrument;	My 2450
	...Model;	2450
	...Serial Number;	04644437
	..Source Settings;	
	...Mode;	DC
	...Function;	Voltage Sweep
	...Type;	Linear
	...Dual Sweep;	Disabled
	...Range;	Auto
	...Start;	-1
	...Stop;	1
	...Step;	0,0202020202020202
	...Limit;	0,001
	..Measure Settings;	
	...Voltage;	Measured
	...Current;	True
	...Range;	Auto
	...Minimum Range;	1E-08
	...Resistance;	False
	...Power;	True
	...Auto Zero;	On
	..Instrument Settings;	
	...Input Terminals;	Front
	...Sense;	2-Wire
	...Output Off;	Normal
	...High Capacitance;	False

"Index";"SMU-1 Time (s)";"SMU-1 Voltage (V)";"SMU-1 Current (A)";"SMU-1 Power (W)"
"1";"0";"-0,999997973442078";"-4,77774046885315E-05";"4,77773078648536E-05"
"2";"0,18265912";"-0,979800462722778";"-4,67729078081902E-05";"4,58281167133546E-05"
"3";"0,36530274";"-0,959592938423157";"-4,57679780083708E-05";"4,3918628502739E-05"
"4";"0,54795002";"-0,939390182495117";"-4,47938182333019E-05";"4,20788730848345E-05"
"5";"0,73060024";"-0,919185817241669";"-4,38059687439818E-05";"4,02658251799999E-05"
"6";"0,91324172";"-0,898984313011169";"-4,28254716098309E-05";"3,84994271745431E-05"
"7";"1,09586268";"-0,878779888153076";"-4,18707350036129E-05";"3,67951598233621E-05"
"8";"1,2784892";"-0,858609616756439";"-4,08896848966833E-05";"3,51082766784328E-05"
"9";"1,46110956";"-0,838405668735504";"-3,99055643356405E-05";"3,34570513530904E-05"
"10";"1,64374266";"-0,818202078342438";"-3,89059205190279E-05";"3,18329050284943E-05"
"11";"1,82637968";"-0,79800271987915";"-3,79515076929238E-05";"3,02854063624677E-05"
"12";"2,00903798";"-0,777797937393188";"-3,69773042621091E-05";"2,87608709854288E-05"
"13";"2,19167872";"-0,757592797279358";"-3,59729710908141E-05";"2,72528637951393E-05"
"14";"2,37432646";"-0,737356543540955";"-3,49864931195043E-05";"2,57975196372171E-05"
