	Common Settings;	
	.Source/Sweep Points;	100
	.Repeat;	0
	.Source to Measure Delay;	0,1
	.Measure Window;	20 ms
	.NPLC;	1
	.Channel;	SMU-1
	..Instrument;	My 2450
	...Model;	2450
	...Serial Number;	04644437
	..Source Settings;	
	...Mode;	DC
	...Function;	Voltage Sweep
	...Type;	Linear
	...Dual Sweep;	Disabled
	...Range;	Auto
	...Start;	-1
	...Stop;	1
	...Step;	0,0202020202020202
	...Limit;	0,001
	..Measure Settings;	
	...Voltage;	Measured
	...Current;	True
	...Range;	Auto
	...Minimum Range;	1E-08
	...Resistance;	False
	...Power;	True
	...Auto Zero;	On
	..Instrument Settings;	
	...Input Terminals;	Front
	...Sense;	2-Wire
	...Output Off;	Normal
	...High Capacitance;	False

"Index";"SMU-1 Time (s)";"SMU-1 Voltage (V)";"SMU-1 Current (A)";"SMU-1 Power (W)"
"1";"0";"-0,999995946884155";"-4,80992348457221E-05";"4,80990398939512E-05"
"2";"0,18264996";"-0,97980135679245";"-4,70821723865811E-05";"4,61311763851082E-05"
"3";"0,36529116";"-0,959591865539551";"-4,60479859611951E-05";"4,41872727528422E-05"
"4";"0,5479489";"-0,939389109611511";"-4,5071828935761E-05";"4,23399852525269E-05"
"5";"0,73058532";"-0,919185221195221";"-4,4032927689841E-05";"4,04744163784597E-05"
"6";"0,91320784";"-0,898984611034393";"-4,30551372119226E-05";"3,87059057794926E-05"
"7";"1,0958406";"-0,878780484199524";"-4,20546639361419E-05";"3,6956817936651E-05"
"8";"1,27847742";"-0,85860937833786";"-4,11129221902229E-05";"3,52999405634001E-05"
"9";"1,46110344";"-0,838405847549438";"-4,01340221287683E-05";"3,36485988384379E-05"
"10";"1,64373752";"-0,818202316761017";"-3,90936875191983E-05";"3,19865456989393E-05"
"11";"1,82638628";"-0,798001885414124";"-3,81208301405422E-05";"3,04204943257043E-05"
"12";"2,0090325";"-0,777798533439636";"-3,7070731195854E-05";"2,88335603576702E-05"
"13";"2,1916725";"-0,757591784000397";"-3,61130150849931E-05";"2,73589235238732E-05"
"14";"2,37432552";"-0,737356305122375";"-3,51090930053033E-05";"2,58879110945883E-05"
"15";"2,55698556";"-0,717148125171661";"-3,41024133376777E-05";"2,44564817889446E-05"
"16";"2,73963102";"-0,69695109128952";"-3,31280825776048E-05";"2,3088653304791E-05"
"17";"2,92227766";"-0,676744163036346";"-3,20946237479802E-05";"2,17198492862933E-05"
"18";"3,10493196";"-0,656540751457214";"-3,11104886350222E-05";"2,04253035866386E-05"
"19";"3,28759604";"-0,636341214179993";"-3,00750998576405E-05";"1,91380255599955E-05"
"20";"3,47026074";"-0,616133093833923";"-2,90521475108108E-05";"1,78999895283553E-05"
"21";"3,65293576";"-0,595931768417358";"-2,80474396276986E-05";"1,67143602969135E-05"
"22";"3,83559658";"-0,575759708881378";"-2,69984084297903E-05";"1,55445957777966E-05"
"23";"4,01827202";"-0,555555462837219";"-2,59703137999168E-05";"1,44279497031406E-05"
"24";"4,20091924";"-0,535352945327759";"-2,49358199653216E-05";"1,33494646625976E-05"
"25";"4,3835583";"-0,515145838260651";"-2,39039218286052E-05";"1,23140058481139E-05"
"26";"4,5662149";"-0,494947016239166";"-2,28760309255449E-05";"1,13224232499933E-05"
"27";"4,74887464";"-0,474742442369461";"-2,18053464777768E-05";"1,03519234435721E-05"
"28";"4,93153392";"-0,454537212848663";"-2,07436769414926E-05";"9,42877310121913E-06"
"29";"5,11418682";"-0,434338867664337";"-1,9676537704072E-05";"8,54628510594125E-06"
"30";"5,29685562";"-0,414162307977676";"-1,86279394256417E-05";"7,71499038539211E-06"
"31";"5,47951542";"-0,393959373235703";"-1,75758468685672E-05";"6,92416961642741E-06"
"32";"5,66216014";"-0,373757928609848";"-1,64993580256123E-05";"6,16676587904513E-06"
"33";"5,84480378";"-0,353551954030991";"-1,54405315697659E-05";"5,45903010776793E-06"
"34";"6,02746556";"-0,333352506160736";"-1,43707538882154E-05";"4,79052682405575E-06"
"35";"6,2101053";"-0,313140749931335";"-1,32972700157552E-05";"4,16391710477304E-06"
"36";"6,39275514";"-0,292940497398376";"-1,22482024380588E-05";"3,58799451444095E-06"
"37";"6,57541358";"-0,272736459970474";"-1,11986264528241E-05";"3,05427373527495E-06"
"38";"6,75806906";"-0,252524107694626";"-1,01829818959231E-05";"2,57144841693852E-06"
"39";"7,10305504";"-0,232283398509026";"-9,16343287826749E-06";"2,12851333097331E-06"
"40";"7,28570012";"-0,212074339389801";"-8,18843454908347E-06";"1,7365568476335E-06"
"41";"7,46834904";"-0,191914647817612";"-7,21027254257933E-06";"1,38375691567811E-06"
"42";"7,65098388";"-0,171712189912796";"-6,30474232821143E-06";"1,08260111201309E-06"
"43";"7,83363038";"-0,151511415839195";"-5,4134075071488E-06";"8,20193035922644E-07"
"44";"8,01628726";"-0,131315186619759";"-4,55579538538586E-06";"5,9824512123338E-07"
"45";"8,19894966";"-0,111105248332024";"-3,74810883840837E-06";"4,16434563266815E-07"
"46";"8,38160304";"-0,090910866856575";"-2,96361758955754E-06";"2,6942504409807E-07"
"47";"8,56425776";"-0,0707042813301086";"-2,23276379074377E-06";"1,57865959204428E-07"
"48";"8,74691216";"-0,0505087114870548";"-1,52681730014592E-06";"7,71175745065144E-08"
"49";"9,09587774";"-0,0302932057529688";"-8,44123292154109E-07";"2,55712005700978E-08"
"50";"9,2785198";"-0,0101072667166591";"-1,86515492828221E-07";"1,88516183280394E-09"
"51";"9,46119552";"0,0100998049601912";"4,63725854160657E-07";"4,68354068202073E-09"
"52";"9,95963214";"0,0302902162075043";"1,11291490156873E-06";"3,37104329890701E-08"
"53";"10,14231852";"0,0504937320947647";"1,74082299508882E-06";"8,79006499384208E-08"
"54";"10,32495898";"0,0706852003931999";"2,3879165382823E-06";"1,6879035903072E-07"
"55";"10,50761364";"0,090893030166626";"3,06004903904977E-06";"2,78137129617706E-07"
"56";"10,69026296";"0,111084565520287";"3,75998774870823E-06";"4,17676605426854E-07"
"57";"10,87291474";"0,131291210651398";"4,51365667686332E-06";"5,9260344957015E-07"
"58";"11,05555588";"0,151484221220016";"5,29835278939572E-06";"8,02616846050513E-07"
"59";"11,23820816";"0,171685576438904";"6,13917609371128E-06";"1,05400798650876E-06"
"60";"11,42086892";"0,191889673471451";"7,08146308170399E-06";"1,35885963844831E-06"
"61";"11,6034988";"0,21206571161747";"8,08354798209621E-06";"1,71424335521719E-06"
"62";"11,78614384";"0,232268914580345";"9,19070407690015E-06";"2,13471486017075E-06"
"63";"11,96880344";"0,252488404512405";"1,03844586192281E-05";"2,621955388494E-06"
"64";"12,4631842";"0,272725880146027";"1,17109148050076E-05";"3,19386954751084E-06"
"65";"12,64582732";"0,292928665876389";"1,31431133922888E-05";"3,84999467146525E-06"
"66";"12,82848946";"0,313123345375061";"1,46665352076525E-05";"4,59243456928126E-06"
"67";"13,01114454";"0,333330392837524";"1,63234817591729E-05";"5,44111258726125E-06"
"68";"13,19379216";"0,353521138429642";"1,8062288290821E-05";"6,38540071921543E-06"
"69";"13,37643298";"0,373726427555084";"1,99338701349916E-05";"7,44981407289739E-06"
"70";"13,55907304";"0,39392152428627";"2,18173499888508E-05";"8,59432376349513E-06"
"71";"13,74171586";"0,414120972156525";"2,39153196162079E-05";"9,903835408898E-06"
"72";"13,92436432";"0,43432691693306";"2,60532706306549E-05";"1,1315636709035E-05"
