	Common Settings;	
	.Source/Sweep Points;	100
	.Repeat;	0
	.Source to Measure Delay;	0,1
	.Measure Window;	20 ms
	.NPLC;	1
	.Channel;	SMU-1
	..Instrument;	My 2450
	...Model;	2450
	...Serial Number;	04644437
	..Source Settings;	
	...Mode;	DC
	...Function;	Voltage Sweep
	...Type;	Linear
	...Dual Sweep;	Disabled
	...Range;	Auto
	...Start;	-1
	...Stop;	1
	...Step;	0,0202020202020202
	...Limit;	0,001
	..Measure Settings;	
	...Voltage;	Measured
	...Current;	True
	...Range;	Auto
	...Minimum Range;	1E-08
	...Resistance;	False
	...Power;	True
	...Auto Zero;	On
	..Instrument Settings;	
	...Input Terminals;	Front
	...Sense;	2-Wire
	...Output Off;	Normal
	...High Capacitance;	False

"Index";"SMU-1 Time (s)";"SMU-1 Voltage (V)";"SMU-1 Current (A)";"SMU-1 Power (W)"
"1";"0";"-0,999997496604919";"-4,94017331220675E-05";"4,94016094500119E-05"
"2";"0,18265726";"-0,979800164699554";"-4,83267176605295E-05";"4,73505259231757E-05"
"3";"0,3653136";"-0,959590673446655";"-4,71760686195921E-05";"4,526971545724E-05"
"4";"0,54795818";"-0,939389944076538";"-4,61183008155786E-05";"4,33230680240513E-05"
"5";"0,7306077";"-0,919186413288116";"-4,49970648332965E-05";"4,13606906326106E-05"
"6";"0,9132426";"-0,898984968662262";"-4,39534560428001E-05";"3,95134963032348E-05"
"7";"1,0958914";"-0,878782093524933";"-4,29157189500984E-05";"3,77135653440951E-05"
"8";"1,27853398";"-0,858608186244965";"-4,18166528106667E-05";"3,59041204246019E-05"
"9";"1,46116062";"-0,838404297828674";"-4,07955994887743E-05";"3,42032059438857E-05"
"10";"1,64381514";"-0,818202495574951";"-3,96990799345076E-05";"3,24818862744436E-05"
"11";"1,82646828";"-0,798002243041992";"-3,8667451008223E-05";"3,08567126372783E-05"
"12";"2,00911728";"-0,777798771858215";"-3,7674111808883E-05";"2,93028778957983E-05"
"13";"2,19176318";"-0,757592558860779";"-3,65910709660966E-05";"2,77211230846615E-05"
"14";"2,3744288";"-0,737357616424561";"-3,55428128386848E-05";"2,62077637557569E-05"
"15";"2,55708544";"-0,717149913311005";"-3,44792606483679E-05";"2,47267987850046E-05"
"16";"2,7397511";"-0,696950972080231";"-3,34483083861414E-05";"2,33118310441606E-05"
"17";"2,92239412";"-0,676744043827057";"-3,2435043976875E-05";"2,19502228226188E-05"
"18";"3,10505726";"-0,656541466712952";"-3,13222590193618E-05";"2,05643618773348E-05"
"19";"3,28771318";"-0,636341273784637";"-3,02895150525728E-05";"1,92744685908731E-05"
"20";"3,47037098";"-0,61613267660141";"-2,92220756819006E-05";"1,80046757057384E-05"
"21";"3,65303974";"-0,595931589603424";"-2,81404300039867E-05";"1,67697711843997E-05"
"22";"3,83570074";"-0,575760364532471";"-2,71088647423312E-05";"1,56082098461061E-05"
"23";"4,01835938";"-0,555556058883667";"-2,6009638531832E-05";"1,44498122757334E-05"
"24";"4,20101816";"-0,535352885723114";"-2,49590702878777E-05";"1,33619103035814E-05"
"25";"4,38366854";"-0,515146911144257";"-2,38928296312224E-05";"1,23083173830202E-05"
"26";"4,56632578";"-0,49494656920433";"-2,27850177907385E-05";"1,12773663847856E-05"
"27";"4,74898998";"-0,474743276834488";"-2,17365159187466E-05";"1,03192647942308E-05"
"28";"4,93163762";"-0,454536944627762";"-2,06098520720843E-05";"9,36793919007535E-06"
"29";"5,11428862";"-0,434337973594666";"-1,95675802387996E-05";"8,49894314907122E-06"
"30";"5,2969657";"-0,414161115884781";"-1,84936943696812E-05";"7,65936909697925E-06"
"31";"5,47962452";"-0,393959939479828";"-1,73681673913961E-05";"6,84236217438994E-06"
"32";"5,66226232";"-0,373756617307663";"-1,6304902601405E-05";"6,09406524183206E-06"
"33";"5,8449127";"-0,353552848100662";"-1,51782496686792E-05";"5,36631339954446E-06"
"34";"6,02755818";"-0,333351850509644";"-1,41322125273291E-05";"4,71099919778072E-06"
"35";"6,210217";"-0,313142120838165";"-1,30802354760817E-05";"4,09597267804284E-06"
"36";"6,39287814";"-0,292942345142365";"-1,19680853458703E-05";"3,50595898808323E-06"
"37";"6,57552038";"-0,272737056016922";"-1,09379952846211E-05";"2,98319663265454E-06"
"38";"6,92049844";"-0,252508193254471";"-9,87190196610754E-06";"2,49273612944707E-06"
"39";"7,10313486";"-0,232284814119339";"-8,88333761395188E-06";"2,06346442641614E-06"
"40";"7,28576282";"-0,212076887488365";"-7,85915563028539E-06";"1,66674526435759E-06"
"41";"7,46841994";"-0,191916227340698";"-6,94121581545915E-06";"1,33213195246051E-06"
"42";"7,65106932";"-0,171709761023521";"-6,03949001742876E-06";"1,03703938759664E-06"
"43";"7,83371316";"-0,151511311531067";"-5,11638063471764E-06";"7,75189540258223E-07"
"44";"8,01637262";"-0,131315991282463";"-4,29450028605061E-06";"5,63936562125557E-07"
"45";"8,19904302";"-0,111107654869556";"-3,45936723533669E-06";"3,8436218085084E-07"
"46";"8,38171226";"-0,0909120887517929";"-2,72020088232239E-06";"2,47299144036398E-07"
"47";"8,56435522";"-0,0707123726606369";"-2,00707609110395E-06";"1,41925112512397E-07"
"48";"8,7470083";"-0,0505086593329906";"-1,26658312638028E-06";"6,39734156472559E-08"
"49";"9,09599526";"-0,0302867274731398";"-5,9884303027502E-07";"1,81369956571287E-08"
