	Common Settings;	
	.Source/Sweep Points;	100
	.Repeat;	0
	.Source to Measure Delay;	0,1
	.Measure Window;	20 ms
	.NPLC;	1
	.Channel;	SMU-1
	..Instrument;	My 2450
	...Model;	2450
	...Serial Number;	04644437
	..Source Settings;	
	...Mode;	DC
	...Function;	Voltage Sweep
	...Type;	Linear
	...Dual Sweep;	Disabled
	...Range;	Auto
	...Start;	-1
	...Stop;	1
	...Step;	0,0202020202020202
	...Limit;	0,001
	..Measure Settings;	
	...Voltage;	Measured
	...Current;	True
	...Range;	Auto
	...Minimum Range;	1E-08
	...Resistance;	False
	...Power;	True
	...Auto Zero;	On
	..Instrument Settings;	
	...Input Terminals;	Front
	...Sense;	2-Wire
	...Output Off;	Normal
	...High Capacitance;	False

"Index";"SMU-1 Time (s)";"SMU-1 Voltage (V)";"SMU-1 Current (A)";"SMU-1 Power (W)"
"1";"0";"-0,999996244907379";"-4,82340692542493E-05";"4,82338881308518E-05"
"2";"0,1826576";"-0,979799687862396";"-4,72219326184131E-05";"4,62680348397803E-05"
"3";"0,36530084";"-0,959592044353485";"-4,61885647382587E-05";"4,4322179262939E-05"
"4";"0,54794962";"-0,939391016960144";"-4,51988125860225E-05";"4,24593585205747E-05"
"5";"0,7305823";"-0,9191854596138";"-4,42060299974401E-05";"4,06335400008984E-05"
"6";"0,91320986";"-0,898984372615814";"-4,3231833842583E-05";"3,88647430240056E-05"
"7";"1,09585418";"-0,878780782222748";"-4,20884425693657E-05";"3,69865144836444E-05"
"8";"1,27848906";"-0,858608365058899";"-4,10795364587102E-05";"3,52712336361906E-05"
"9";"1,4611315";"-0,838406264781952";"-4,00994103983976E-05";"3,36195968920791E-05"
"10";"1,64377394";"-0,818202614784241";"-3,91222019970883E-05";"3,20098879701349E-05"
"11";"1,82642486";"-0,798003554344177";"-3,81268000637647E-05";"3,0425321966654E-05"
"12";"2,0090787";"-0,777798414230347";"-3,71488422388211E-05";"2,88943105838484E-05"
"13";"2,19172456";"-0,757593750953674";"-3,61411548510659E-05";"2,73803130674166E-05"
"14";"2,37437394";"-0,737357318401337";"-3,51549315382726E-05";"2,59217460476433E-05"
"15";"2,55700802";"-0,717149198055267";"-3,41460145136807E-05";"2,44877869252696E-05"
"16";"2,73963466";"-0,696952223777771";"-3,31461305904668E-05";"2,31012694246542E-05"
"17";"2,92225922";"-0,67674458026886";"-3,21542756864801E-05";"2,17602318032962E-05"
"18";"3,10491808";"-0,656542003154755";"-3,11346411763225E-05";"2,04411996854073E-05"
"19";"3,28756942";"-0,63634067773819";"-3,01338914141525E-05";"1,91754208853708E-05"
"20";"3,47022666";"-0,616134107112885";"-2,91234900942072E-05";"1,79439755652053E-05"
"21";"3,65290106";"-0,595931172370911";"-2,81100092252018E-05";"1,67516307529316E-05"
"22";"3,83556032";"-0,575761556625366";"-2,70669042947702E-05";"1,55840829497867E-05"
"23";"4,01822172";"-0,555554866790771";"-2,60424494626932E-05";"1,44680095421519E-05"
"24";"4,20088012";"-0,535353481769562";"-2,50082957791165E-05";"1,3388278218473E-05"
"25";"4,38353666";"-0,515147030353546";"-2,39707951550372E-05";"1,23484839393306E-05"
"26";"4,56618592";"-0,494947224855423";"-2,29231864068424E-05";"1,13457674969102E-05"
"27";"4,74884418";"-0,474744260311127";"-2,18882778426632E-05";"1,03913342738996E-05"
"28";"4,9314945";"-0,454537600278854";"-2,08220953936689E-05";"9,46442527301563E-06"
"29";"5,1141493";"-0,434340059757233";"-1,97782446775818E-05";"8,59048397515406E-06"
"30";"5,29680698";"-0,414162307977676";"-1,87122332135914E-05";"7,74990169515754E-06"
"31";"5,47945938";"-0,393961578607559";"-1,76560624822741E-05";"6,95581024751042E-06"
"32";"5,66210714";"-0,373757123947144";"-1,66035515576368E-05";"6,20569567749045E-06"
"33";"5,84475696";"-0,353552877902985";"-1,55441084643826E-05";"5,49566428201861E-06"
"34";"6,02741188";"-0,333352506160736";"-1,44883761095116E-05";"4,82973648630502E-06"
"35";"6,2100711";"-0,31314155459404";"-1,34136234919424E-05";"4,20036291300598E-06"
"36";"6,3927332";"-0,29294291138649";"-1,23549034469761E-05";"3,61928138565616E-06"
"37";"6,57538548";"-0,272737085819244";"-1,13176347440458E-05";"3,08673871845768E-06"
"38";"6,75804162";"-0,252527177333832";"-1,02850199255045E-05";"2,59724705060986E-06"
"39";"7,10302732";"-0,232282310724258";"-9,27562177821528E-06";"2,1545628600481E-06"
"40";"7,28567132";"-0,212077707052231";"-8,28358588478295E-06";"1,75676390061499E-06"
"41";"7,4683237";"-0,191914036870003";"-7,32818944015889E-06";"1,40638241840902E-06"
"42";"7,65097754";"-0,171709164977074";"-6,40676717011956E-06";"1,10010064098376E-06"
"43";"7,83361614";"-0,151515319943428";"-5,51080484001432E-06";"8,34971358480561E-07"
"44";"8,01628036";"-0,131312593817711";"-4,66244364361046E-06";"6,12237568371388E-07"
"45";"8,1989525";"-0,111111670732498";"-3,84324039259809E-06";"4,27028861048196E-07"
"46";"8,38160548";"-0,090908907353878";"-3,06234755953483E-06";"2,78394670575126E-07"
"47";"8,5642581";"-0,0707089155912399";"-2,3262434751814E-06";"1,64486153531274E-07"
"48";"8,74689914";"-0,0505062267184258";"-1,61235004725313E-06";"8,14337170360311E-08"
"49";"9,09585074";"-0,0302934739738703";"-9,31276247229107E-07";"2,82115927579185E-08"
"50";"9,27851784";"-0,0101059833541512";"-2,68366903810602E-07";"2,71211146271505E-09"
"51";"9,46116674";"0,0100898072123528";"3,77308225552042E-07";"3,80696725545501E-09"
"52";"9,64382326";"0,0302628949284554";"1,01677471775474E-06";"3,07705464493216E-08"
"53";"10,14222214";"0,0504894368350506";"1,65663993811904E-06";"8,36428175140835E-08"
"54";"10,32488136";"0,0706857219338417";"2,30898945119407E-06";"1,63212586295277E-07"
"55";"10,50752476";"0,0908907055854797";"2,97087376566196E-06";"2,70024812766407E-07"
"56";"10,69018632";"0,111086063086987";"3,66458743883413E-06";"4,07084591418107E-07"
"57";"10,87283702";"0,131292313337326";"4,39910309069091E-06";"5,77568421386191E-07"
"58";"11,05548128";"0,151483818888664";"5,18571641805465E-06";"7,85552126680564E-07"
"59";"11,23813046";"0,171687826514244";"6,01598139837733E-06";"1,03287077063753E-06"
"60";"11,42078366";"0,191885709762573";"6,91764898874681E-06";"1,32739798609403E-06"
"61";"11,60342608";"0,212069034576416";"7,93003528087866E-06";"1,68171492617285E-06"
"62";"11,78608254";"0,232266262173653";"9,00392569747055E-06";"2,09130816664078E-06"
"63";"11,968732";"0,252488851547241";"1,01855903267278E-05";"2,5717480039262E-06"
"64";"12,4631311";"0,272726446390152";"1,14835565909743E-05";"3,13186958097664E-06"
"65";"12,64577266";"0,292925924062729";"1,28775554912863E-05";"3,77216984195412E-06"
"66";"12,8284266";"0,313123852014542";"1,43984070746228E-05";"4,50848468607932E-06"
"67";"13,01109754";"0,333327442407608";"1,59612172865309E-05";"5,32031173583144E-06"
"68";"13,19376738";"0,353523850440979";"1,77096226252615E-05";"6,26077398033914E-06"
"69";"13,37640308";"0,373726308345795";"1,9508497643983E-05";"7,2908388058584E-06"
"70";"13,55906228";"0,393924385309219";"2,14311985473614E-05";"8,44227171420918E-06"
"71";"13,74171108";"0,414120525121689";"2,34520157391671E-05";"9,71196107306599E-06"
"72";"13,92436628";"0,434325605630875";"2,55406412179582E-05";"1,10929544651906E-05"
"73";"14,10702116";"0,45452356338501";"2,76733153441455E-05";"1,25781739008981E-05"
"74";"14,2896644";"0,474722057580948";"2,993823181896E-05";"1,42123390094321E-05"
"75";"14,47230042";"0,494923740625381";"3,2150241167983E-05";"1,59119176208663E-05"
"76";"14,65495186";"0,51511949300766";"3,44852269336116E-05";"1,77640126142961E-05"
"77";"14,83761264";"0,535323441028595";"3,67770589946304E-05";"1,96876217719172E-05"
"78";"15,0202637";"0,555519640445709";"3,91984285670333E-05";"2,17754969435951E-05"
"79";"15,20290964";"0,575719237327576";"4,15490649174899E-05";"2,39205959659712E-05"
"80";"15,38553972";"0,595924735069275";"4,39753057435155E-05";"2,62059724247948E-05"
"81";"15,5681863";"0,616114497184753";"4,63421347376425E-05";"2,85520610423507E-05"
"82";"15,75083114";"0,636319696903229";"4,87503530166578E-05";"3,10208098554851E-05"
"83";"15,93346322";"0,65650999546051";"5,11068101332057E-05";"3,35521316885521E-05"
"84";"16,11611302";"0,676711440086365";"5,34492755832616E-05";"3,61697362515219E-05"
"85";"16,29875502";"0,696915566921234";"5,59954314667266E-05";"3,90240878656329E-05"
"86";"16,48140602";"0,717106342315674";"5,84440713282675E-05";"4,19106142202502E-05"
"87";"16,6640502";"0,737310469150543";"6,07725778536405E-05";"4,48082578887556E-05"
