	Common Settings;	
	.Source/Sweep Points;	100
	.Repeat;	0
	.Source to Measure Delay;	0,1
	.Measure Window;	20 ms
	.NPLC;	1
	.Channel;	SMU-1
	..Instrument;	My 2450
	...Model;	2450
	...Serial Number;	04644437
	..Source Settings;	
	...Mode;	DC
	...Function;	Voltage Sweep
	...Type;	Linear
	...Dual Sweep;	Disabled
	...Range;	Auto
	...Start;	-1
	...Stop;	1
	...Step;	0,0202020202020202
	...Limit;	0,001
	..Measure Settings;	
	...Voltage;	Measured
	...Current;	True
	...Range;	Auto
	...Minimum Range;	1E-08
	...Resistance;	False
	...Power;	True
	...Auto Zero;	On
	..Instrument Settings;	
	...Input Terminals;	Front
	...Sense;	2-Wire
	...Output Off;	Normal
	...High Capacitance;	False

"Index";"SMU-1 Time (s)";"SMU-1 Voltage (V)";"SMU-1 Current (A)";"SMU-1 Power (W)"
"1";"0";"-0,99999725818634";"-4,76699642604217E-05";"4,76698335582625E-05"
"2";"0,18265182";"-0,979800164699554";"-4,67226236651186E-05";"4,57788343622785E-05"
"3";"0,36528848";"-0,959590911865234";"-4,56988746009301E-05";"4,38522247495216E-05"
"4";"0,54792698";"-0,939389169216156";"-4,47012971562799E-05";"4,19919143985223E-05"
"5";"0,7305767";"-0,919184029102325";"-4,37327325926162E-05";"4,01984293481356E-05"
"6";"0,91321898";"-0,898984611034393";"-4,27464474341832E-05";"3,84283984197213E-05"
"7";"1,09584152";"-0,87878006696701";"-4,17801456933375E-05";"3,67155592302826E-05"
"8";"1,2784625";"-0,858608782291412";"-4,07688712584786E-05";"3,50045109066377E-05"
"9";"1,4610874";"-0,838404834270477";"-3,98178599425592E-05";"3,33834862661464E-05"
"10";"1,6437179";"-0,818201661109924";"-3,88529188057873E-05";"3,17895227058642E-05"
"11";"1,82635544";"-0,798002123832703";"-3,78754120902158E-05";"3,02246592890311E-05"
"12";"2,00898598";"-0,777798891067505";"-3,68729088222608E-05";"2,86797075923877E-05"
"13";"2,1916164";"-0,757592976093292";"-3,59066943929065E-05";"2,72026594667944E-05"
"14";"2,37426722";"-0,737358331680298";"-3,48984722222667E-05";"2,57326792560018E-05"
"15";"2,55690316";"-0,717150807380676";"-3,39119978889357E-05";"2,4320016665942E-05"
"16";"2,7395335";"-0,696951389312744";"-3,29331887769513E-05";"2,29528316725951E-05"
"17";"2,92214978";"-0,676743745803833";"-3,19333194056526E-05";"2,16106741905316E-05"
"18";"3,10479556";"-0,656542062759399";"-3,09326060232706E-05";"2,03085569650419E-05"
"19";"3,28742304";"-0,636342942714691";"-2,99413441098295E-05";"1,90529630196821E-05"
"20";"3,47006438";"-0,616133809089661";"-2,89285362669034E-05";"1,78238492415156E-05"
"21";"3,65271328";"-0,595931231975555";"-2,79097839666065E-05";"1,66323119433914E-05"
"22";"3,83534794";"-0,575760841369629";"-2,69070496869972E-05";"1,54920255665599E-05"
"23";"4,01800854";"-0,555554926395416";"-2,58828695223201E-05";"1,43793556723747E-05"
"24";"4,20063572";"-0,535354137420654";"-2,48440101131564E-05";"1,33003436041989E-05"
"25";"4,38329028";"-0,51514607667923";"-2,38171778619289E-05";"1,22693257331441E-05"
"26";"4,56593018";"-0,494948208332062";"-2,27780092245666E-05";"1,12739348550704E-05"
"27";"4,74858978";"-0,474743455648422";"-2,17518463614397E-05";"1,03265467083634E-05"
"28";"4,93124226";"-0,454539000988007";"-2,06896256713662E-05";"9,40424178347862E-06"
"29";"5,1139196";"-0,434339970350266";"-1,96419096027967E-05";"8,5312664345013E-06"
"30";"5,29658404";"-0,414162546396255";"-1,8604001525091E-05";"7,70508064479151E-06"
"31";"5,4792473";"-0,393962055444717";"-1,75462646438973E-05";"6,91256248448675E-06"
"32";"5,66189954";"-0,373757898807526";"-1,64950251928531E-05";"6,16514595685796E-06"
"33";"5,8445427";"-0,353553652763367";"-1,54347144416533E-05";"5,45699967020603E-06"
"34";"6,02719826";"-0,333351492881775";"-1,4387186638487E-05";"4,79599014430838E-06"
"35";"6,20985608";"-0,313143104314804";"-1,33370076582651E-05";"4,17639198037944E-06"
"36";"6,39250262";"-0,292941272258759";"-1,22734145406866E-05";"3,59538967050789E-06"
"37";"6,57515678";"-0,272737562656403";"-1,12299885586253E-05";"3,06283970813876E-06"
"38";"6,75782254";"-0,252525985240936";"-1,02090671134647E-05";"2,57805473121851E-06"
"39";"7,10280332";"-0,232282921671867";"-9,20725233299891E-06";"2,1386874724791E-06"
"40";"7,2854407";"-0,21207682788372";"-8,21961293695495E-06";"1,7431894381014E-06"
"41";"7,4680803";"-0,191913574934006";"-7,27474753148272E-06";"1,39612280550918E-06"
"42";"7,65071528";"-0,171714186668396";"-6,36198228676221E-06";"1,09244261397012E-06"
"43";"7,83334294";"-0,151513695716858";"-5,46961518921307E-06";"8,28721611466734E-07"
"44";"8,01598588";"-0,131314873695374";"-4,62125626654597E-06";"6,06839682955438E-07"
"45";"8,19862466";"-0,111110456287861";"-3,81305267183052E-06";"4,23670022216736E-07"
"46";"8,38127468";"-0,0909098014235497";"-3,04258173855487E-06";"2,76600501666942E-07"
"47";"8,56395256";"-0,0707076787948608";"-2,30582281801617E-06";"1,63039379174148E-07"
"48";"8,74659888";"-0,050505805760622";"-1,59892226747615E-06";"8,0754857467484E-08"
"49";"9,09555658";"-0,0302898120135069";"-9,26459904349031E-07";"2,80622963407837E-08"
"50";"9,2781996";"-0,0100985169410706";"-2,68606640929647E-07";"2,7125287139121E-09"
"51";"9,46086204";"0,0101002147421241";"3,7266281083248E-07";"3,76397441581162E-09"
"52";"9,64351882";"0,0302646197378635";"1,00794386526104E-06";"3,05050377992378E-08"
"53";"10,1419203";"0,0504898764193058";"1,64036350724928E-06";"8,2821750763755E-08"
"54";"10,3245642";"0,0706880688667297";"2,28561043513764E-06";"1,61565387841526E-07"
"55";"10,50721716";"0,0908867195248604";"2,94879396278702E-06";"2,68006209832426E-07"
"56";"10,6898664";"0,111086152493954";"3,643780701168E-06";"4,04773578624474E-07"
