	Common Settings;	
	.Source/Sweep Points;	100
	.Repeat;	0
	.Source to Measure Delay;	0,1
	.Measure Window;	20 ms
	.NPLC;	1
	.Channel;	SMU-1
	..Instrument;	My 2450
	...Model;	2450
	...Serial Number;	04644437
	..Source Settings;	
	...Mode;	DC
	...Function;	Voltage Sweep
	...Type;	Linear
	...Dual Sweep;	Disabled
	...Range;	Auto
	...Start;	-1
	...Stop;	1
	...Step;	0,0202020202020202
	...Limit;	0,001
	..Measure Settings;	
	...Voltage;	Measured
	...Current;	True
	...Range;	Auto
	...Minimum Range;	1E-08
	...Resistance;	False
	...Power;	True
	...Auto Zero;	On
	..Instrument Settings;	
	...Input Terminals;	Front
	...Sense;	2-Wire
	...Output Off;	Normal
	...High Capacitance;	False

"Index";"SMU-1 Time (s)";"SMU-1 Voltage (V)";"SMU-1 Current (A)";"SMU-1 Power (W)"
"1";"0";"-0,999996662139893";"-4,80560629512183E-05";"4,80559025468029E-05"
"2";"0,18265776";"-0,979800879955292";"-4,703216109192E-05";"4,60821528240622E-05"
"3";"0,36530558";"-0,959591746330261";"-4,60247210867237E-05";"4,41649424819724E-05"
"4";"0,54793698";"-0,939389228820801";"-4,50379156973213E-05";"4,23081328946029E-05"
"5";"0,73058104";"-0,9191854596138";"-4,40558833361138E-05";"4,04955273729977E-05"
"6";"0,9132182";"-0,898983478546143";"-4,30812251579482E-05";"3,87293096525219E-05"
"7";"1,09586106";"-0,878780245780945";"-4,20762225985527E-05";"3,69757532366899E-05"
"8";"1,2784942";"-0,858610570430756";"-4,10914435633458E-05";"3,52815477977476E-05"
"9";"1,46112918";"-0,838406622409821";"-4,01015568058938E-05";"3,3621410795005E-05"
"10";"1,64377738";"-0,818203091621399";"-3,91044777643401E-05";"3,19954046030233E-05"
"11";"1,82642246";"-0,798003137111664";"-3,81055069738068E-05";"3,04083141063282E-05"
"12";"2,00907076";"-0,777799725532532";"-3,71305795852095E-05";"2,88801546102398E-05"
"13";"2,19170956";"-0,757593393325806";"-3,61174061254133E-05";"2,73623082646781E-05"
"14";"2,37436044";"-0,737358033657074";"-3,51085582224187E-05";"2,58875774554175E-05"
"15";"2,5570083";"-0,717149555683136";"-3,41511658916716E-05";"2,44914934452733E-05"
"16";"2,73964094";"-0,69694983959198";"-3,31419032590929E-05";"2,30982441601977E-05"
