	Common Settings;	
	.Source/Sweep Points;	100
	.Repeat;	0
	.Source to Measure Delay;	0,1
	.Measure Window;	20 ms
	.NPLC;	1
	.Channel;	SMU-1
	..Instrument;	My 2450
	...Model;	2450
	...Serial Number;	04644437
	..Source Settings;	
	...Mode;	DC
	...Function;	Voltage Sweep
	...Type;	Linear
	...Dual Sweep;	Disabled
	...Range;	Auto
	...Start;	-1
	...Stop;	1
	...Step;	0,0202020202020202
	...Limit;	0,001
	..Measure Settings;	
	...Voltage;	Measured
	...Current;	True
	...Range;	Auto
	...Minimum Range;	1E-08
	...Resistance;	False
	...Power;	True
	...Auto Zero;	On
	..Instrument Settings;	
	...Input Terminals;	Front
	...Sense;	2-Wire
	...Output Off;	Normal
	...High Capacitance;	False

"Index";"SMU-1 Time (s)";"SMU-1 Voltage (V)";"SMU-1 Current (A)";"SMU-1 Power (W)"
"1";"0";"-0,99999588727951";"-4,76624554721639E-05";"4,76622594498067E-05"
"2";"0,18266008";"-0,979799032211304";"-4,66922938358039E-05";"4,57490643120465E-05"
"3";"0,36529072";"-0,959591269493103";"-4,5741668145638E-05";"4,3893305404605E-05"
"4";"0,54791894";"-0,939388930797577";"-4,47409765911289E-05";"4,202917816278E-05"
"5";"0,73056626";"-0,919183969497681";"-4,37801390944514E-05";"4,02420020379985E-05"
"6";"0,91319962";"-0,898983359336853";"-4,27936574851628E-05";"3,84707859643224E-05"
"7";"1,095828";"-0,878779053688049";"-4,18060772062745E-05";"3,67383049657394E-05"
"8";"1,27845562";"-0,858607769012451";"-4,08195883210283E-05";"3,50480156603248E-05"
"9";"1,46108698";"-0,838404595851898";"-3,98660813516472E-05";"3,34239058238266E-05"
"10";"1,64371928";"-0,818200469017029";"-3,88849621231202E-05";"3,18156942468464E-05"
"11";"1,82636098";"-0,798001408576965";"-3,79115735995583E-05";"3,02534891338168E-05"
"12";"2,00900008";"-0,777797758579254";"-3,69154404324945E-05";"2,87127468253602E-05"
"13";"2,19164942";"-0,757592022418976";"-3,59378827852197E-05";"2,72262533007107E-05"
"14";"2,3742876";"-0,737356603145599";"-3,49381843989249E-05";"2,57619009684659E-05"
"15";"2,55692384";"-0,717148721218109";"-3,39446996804327E-05";"2,43433979679551E-05"
"16";"2,73955788";"-0,69694995880127";"-3,29477661580313E-05";"2,29629442664338E-05"
"17";"2,92218236";"-0,676743388175964";"-3,19591490551829E-05";"2,16281428148252E-05"
"18";"3,1048038";"-0,656541407108307";"-3,09553288388997E-05";"2,03234551533916E-05"
"19";"3,2874388";"-0,636340200901031";"-2,99466119031422E-05";"1,90562330347507E-05"
"20";"3,47007608";"-0,61613267660141";"-2,89494200842455E-05";"1,78366836825648E-05"
"21";"3,65270684";"-0,59592992067337";"-2,79540981864557E-05";"1,66586835147501E-05"
"22";"3,83535056";"-0,57575911283493";"-2,69346692221006E-05";"1,5507881255819E-05"
"23";"4,01799296";"-0,555554032325745";"-2,59117077803239E-05";"1,43953537418053E-05"
"24";"4,20063164";"-0,535353481769562";"-2,48817232204601E-05";"1,33205171584999E-05"
"25";"4,38326454";"-0,515145838260651";"-2,3860391593189E-05";"1,22915814285007E-05"
"26";"4,56589454";"-0,49494680762291";"-2,28162243729457E-05";"1,12928174153975E-05"
"27";"4,7485457";"-0,474741816520691";"-2,17791566683445E-05";"1,03394763990186E-05"
"28";"4,93119704";"-0,454536974430084";"-2,07418870559195E-05";"9,42795458636818E-06"
"29";"5,11384976";"-0,43433889746666";"-1,96767650777474E-05";"8,54638444957928E-06"
"30";"5,29650298";"-0,414162009954453";"-1,86390043381834E-05";"7,71956750025181E-06"
"31";"5,47917274";"-0,393960416316986";"-1,7573709556018E-05";"6,92334593292265E-06"
"32";"5,66182256";"-0,373755425214767";"-1,65166329679778E-05";"6,17318117806278E-06"
"33";"5,84447036";"-0,353551626205444";"-1,54575627675513E-05";"5,46504645364048E-06"
